id,treat,colony,rep,case,foundation,unit,offspring,worker,larva,PS,eggs,total
1,wood,BB,1,dish,1,FM,10,0,10,0,8,18
2,wood,BB,2,dish,1,FM,10,0,10,0,9,19
3,wood,BB,3,dish,1,FM,12,0,12,0,7,19
4,wood,BB,4,dish,1,FM,10,0,10,0,7,17
5,wood,BB,5,dish,1,FM,9,0,9,0,7,16
6,wood,DD,1,dish,1,FM,7,0,7,0,14,21
7,wood,DD,2,dish,1,FM,7,0,7,0,10,17
8,wood,DD,3,dish,1,FM,10,0,10,0,7,17
9,wood,DD,4,dish,0,M,9,0,9,0,3,12
10,wood,DD,5,dish,1,FM,12,0,12,0,3,15
11,wood,BD,1,dish,1,FM,8,0,8,0,10,18
12,wood,BD,2,dish,1,FM,9,1,8,0,11,20
13,wood,BD,3,dish,1,FM,9,0,9,0,9,18
14,wood,BD,4,dish,1,FM,2,0,2,0,6,8
15,wood,BD,1,cell,1,FM,10,2,8,0,9,19
16,wood,BD,2,cell,1,FM,7,4,3,0,5,12
17,wood,BD,3,cell,1,FM,6,2,4,0,2,8
18,wood,BD,4,cell,1,FM,10,4,6,0,9,19
19,wood,BD,5,cell,1,FM,9,2,7,0,9,18
20,wood,BD,6,cell,0,M,4,0,4,0,3,7
21,wood,BD,7,cell,1,FM,7,0,7,0,8,15
22,wood,BD,8,cell,1,FM,10,0,10,0,10,20
23,wood,DB,1,dish,1,FM,10,0,10,0,9,19
24,wood,DB,2,dish,1,FM,11,0,11,0,8,19
25,wood,DB,3,dish,1,FM,9,0,9,0,5,14
26,wood,DB,4,dish,1,FM,10,0,10,0,9,19
27,wood,DB,1,cell,1,FM,7,2,5,0,4,11
28,wood,DB,2,cell,1,FM,8,2,6,0,10,18
29,wood,DB,3,cell,1,FM,8,1,7,0,8,16
30,wood,DB,4,cell,1,FM,7,0,7,0,5,12
31,wood,DB,5,cell,1,FM,10,3,7,0,7,17
32,wood,DB,6,cell,1,FM,9,2,7,0,5,14
33,wood,DB,7,cell,1,FM,10,3,7,0,7,17
34,wood,DB,8,cell,1,FM,9,2,7,0,7,16
35,lab_flight,BB,1,dish,1,FM,12,3,9,0,5,17
36,lab_flight,BB,2,dish,1,FM,12,2,10,0,7,19
37,lab_flight,BB,3,dish,1,FM,12,4,8,0,8,20
38,lab_flight,BB,4,dish,1,FM,10,2,8,0,5,15
39,lab_flight,BB,5,dish,0,F,12,0,12,0,7,19
40,lab_flight,BB,6,dish,1,FM,9,3,6,0,7,16
41,lab_flight,BB,7,dish,1,FM,15,0,15,0,7,22
42,lab_flight,BB,8,dish,1,FM,12,2,10,0,4,16
43,lab_flight,BB,9,dish,1,FM,15,2,13,0,6,21
44,lab_flight,BB,10,dish,1,FM,11,5,6,0,5,16
45,lab_flight,AA,1,dish,1,FM,11,0,11,0,7,18
46,lab_flight,AA,2,dish,1,FM,10,0,10,0,4,14
47,lab_flight,AA,3,dish,1,FM,8,0,8,0,5,13
48,lab_flight,AA,4,dish,1,FM,9,0,9,0,3,12
49,lab_flight,AA,5,dish,1,FM,10,0,10,0,4,14
50,lab_flight,AA,6,dish,1,FM,10,0,10,0,5,15
51,lab_flight,AA,7,dish,1,FM,8,0,8,0,6,14
52,lab_flight,AA,8,dish,1,FM,9,0,9,0,3,12
53,lab_flight,AA,9,dish,1,FM,10,2,8,0,3,13
54,lab_flight,AA,10,dish,1,FM,11,1,10,0,5,16
55,lab_flight,BB,1,dish,1,FM,10,3,7,0,8,18
56,lab_flight,BB,2,dish,1,FM,12,5,7,0,7,19
57,lab_flight,BB,3,dish,1,FM,10,1,9,0,5,15
58,lab_flight,BB,4,dish,1,FM,11,0,11,0,5,16
59,lab_flight,BB,5,dish,1,FM,13,0,13,0,4,17
60,lab_flight,BB,6,dish,1,FM,11,0,11,0,7,18
61,lab_flight,BB,7,dish,1,FM,10,1,9,0,4,14
62,lab_flight,BB,8,dish,1,FM,12,3,9,0,6,18
63,lab_flight,BB,9,dish,1,FM,11,3,8,0,2,13
64,lab_flight,BB,10,dish,1,FM,12,1,11,0,4,16
65,lab_flight,BB,11,dish,1,FM,10,2,8,0,5,15
66,lab_flight,BB,12,dish,1,FM,11,0,11,0,4,15
67,lab_flight,DD-1,1,dish,1,FM,12,6,6,0,1,13
68,lab_flight,DD-1,2,dish,0,M,3,3,0,0,0,3
69,lab_flight,DD-1,3,dish,1,FM,15,7,7,1,0,15
70,lab_flight,DD-1,4,dish,1,FM,13,6,7,0,4,17
71,lab_flight,DD-1,5,dish,1,FM,14,9,5,0,0,14
72,lab_flight,DD-1,6,dish,1,FM,13,6,7,0,3,16
73,lab_flight,DD-1,7,dish,1,FM,16,7,8,1,3,19
74,lab_flight,DD-1,8,dish,1,FM,15,5,9,1,3,18
75,lab_flight,DD-1,9,dish,1,FM,11,5,6,0,2,13
76,lab_flight,DD-1,10,dish,1,FM,11,2,9,0,1,12
77,lab_flight,EE,1,dish,1,FM,14,4,10,0,6,20
78,lab_flight,EE,2,dish,1,FM,8,2,6,0,6,14
79,lab_flight,EE,3,dish,1,FM,9,1,8,0,2,11
80,lab_flight,EE,4,dish,1,FM,10,4,6,0,2,12
81,lab_flight,EE,5,dish,1,FM,13,4,9,0,0,13
82,lab_flight,CC-1,1,dish,1,FM,13,3,10,0,3,16
83,lab_flight,CC-1,2,dish,1,FM,13,4,9,0,6,19
84,lab_flight,CC-1,3,dish,1,FM,15,4,11,0,2,17
85,lab_flight,CC-1,4,dish,1,FM,14,5,9,0,6,20
86,lab_flight,CC-1,5,dish,1,FM,14,4,10,0,6,20
87,lab_flight,CC-1,6,dish,1,FM,8,2,6,0,4,12
88,lab_flight,CC-1,7,dish,1,FM,13,4,9,0,5,18
89,lab_flight,CC-1,8,dish,1,FM,10,5,5,0,3,13
90,lab_flight,CC-1,9,dish,1,FM,15,3,12,0,4,19
91,lab_flight,CC-1,10,dish,1,FM,14,3,11,0,3,17
92,lab_flight,DD-2,1,dish,1,FM,12,2,10,0,7,19
93,lab_flight,DD-2,2,dish,1,FM,14,3,11,0,7,21
94,lab_flight,DD-2,3,dish,1,FM,11,2,9,0,8,19
95,lab_flight,DD-2,4,dish,1,FM,9,0,9,0,5,14
96,lab_flight,DD-2,5,dish,1,FM,10,0,10,0,0,10
97,lab_flight,DD-2,6,dish,1,FM,11,2,9,0,6,17
98,lab_flight,DD-2,7,dish,1,FM,9,1,8,0,5,14
99,lab_flight,DD-2,8,dish,1,FM,0,0,0,0,2,2
100,lab_flight,DD-2,9,dish,0,NA,0,0,0,0,0,0
101,lab_flight,DD-2,10,dish,0,NA,0,0,0,0,0,0
102,lab_flight,EE-2,1,dish,1,FM,10,0,10,0,4,14
103,lab_flight,EE-2,2,dish,1,FM,7,1,6,0,6,13
104,lab_flight,EE-1,1,dish,1,FM,9,0,9,0,5,14
105,lab_flight,EE-1,2,dish,1,FM,7,0,7,0,7,14
106,nat_flight,732,1,dish,1,FM,11,NA,NA,1,0,12
107,nat_flight,732,2,dish,1,FM,10,NA,NA,0,5,15
108,nat_flight,732,3,dish,0,M,0,NA,NA,0,0,0
109,nat_flight,732,4,dish,1,FM,14,NA,NA,1,0,15
110,nat_flight,732,5,dish,0,M,0,NA,NA,0,0,0
111,nat_flight,732,6,dish,0,NA,0,NA,NA,0,0,0
112,nat_flight,732,7,dish,0,M,0,NA,NA,0,0,0
113,nat_flight,732,8,dish,1,FM,11,NA,NA,1,0,12
114,nat_flight,732,9,dish,0,F,0,NA,NA,0,10,10
115,nat_flight,732,10,dish,0,NA,0,NA,NA,0,0,0
116,nat_flight,732,11,dish,1,FM,10,NA,NA,1,3,14
117,nat_flight,732,12,dish,0,NA,0,NA,NA,0,0,0
118,nat_flight,732,13,dish,0,NA,0,NA,NA,0,0,0
119,nat_flight,732,14,dish,1,FM,14,NA,NA,1,2,17
120,nat_flight,732,15,dish,1,FM,5,NA,NA,0,6,11
121,nat_flight,730,1,dish,1,FM,13,NA,NA,1,1,15
122,nat_flight,730,2,dish,1,FM,11,NA,NA,1,3,15
123,nat_flight,730,3,dish,1,FM,14,NA,NA,1,3,18
124,nat_flight,730,4,dish,1,FM,11,NA,NA,1,1,13
125,nat_flight,730,5,dish,1,FM,10,NA,NA,0,1,11
126,nat_flight,730,6,dish,1,FM,8,NA,NA,0,7,15
127,nat_flight,730,7,dish,0,M,8,NA,NA,0,0,8
128,nat_flight,730,8,dish,0,M,0,NA,NA,0,0,0
129,nat_flight,730,9,dish,1,FM,11,NA,NA,1,1,13
130,nat_flight,730,10,dish,1,FM,12,NA,NA,0,4,16
131,nat_flight,730,11,dish,1,FM,11,NA,NA,1,0,12
132,nat_flight,730,12,dish,0,NA,0,NA,NA,0,0,0
133,nat_flight,730,13,dish,1,FM,13,NA,NA,0,1,14
134,nat_flight,730,14,dish,1,FM,12,NA,NA,1,0,13
135,nat_flight,730,15,dish,0,F,10,NA,NA,0,16,26
136,nat_flight,729,1,dish,1,FM,13,NA,NA,0,1,14
137,nat_flight,729,2,dish,1,FM,14,NA,NA,1,2,17
138,nat_flight,729,3,dish,1,FM,11,NA,NA,1,3,15
139,nat_flight,729,4,dish,1,FM,15,NA,NA,0,6,21
140,nat_flight,729,5,dish,1,FM,13,NA,NA,0,4,17
141,nat_flight,729,6,dish,1,FM,13,NA,NA,1,4,18
142,nat_flight,729,7,dish,1,FM,13,NA,NA,0,3,16
143,nat_flight,729,8,dish,1,FM,13,NA,NA,1,0,14
144,nat_flight,729,9,dish,1,FM,14,NA,NA,1,4,19
145,nat_flight,729,10,dish,1,FM,19,NA,NA,0,3,22
146,nat_flight,729,11,dish,1,FM,12,NA,NA,0,5,17
147,nat_flight,729,12,dish,1,FM,13,NA,NA,1,3,17
148,nat_flight,729,13,dish,1,FM,15,NA,NA,0,3,18
149,nat_flight,729,14,dish,1,FM,14,NA,NA,0,3,17
150,nat_flight,729,15,dish,1,FM,15,NA,NA,0,3,18
151,nat_flight,I,1,dish,0,NA,0,NA,NA,0,0,0
152,nat_flight,I,2,dish,1,FM,12,NA,NA,1,0,13
153,nat_flight,I,3,dish,1,FM,13,NA,NA,0,0,13
154,nat_flight,I,4,dish,0,M,6,NA,NA,0,0,6
155,nat_flight,I,5,dish,1,FM,9,NA,NA,1,0,10
156,nat_flight,I,6,dish,1,FM,11,NA,NA,1,0,12
157,nat_flight,I,7,dish,1,FM,10,NA,NA,0,3,13
158,nat_flight,I,8,dish,1,FM,11,NA,NA,0,0,11
159,nat_flight,I,9,dish,0,NA,0,NA,NA,0,0,0
160,nat_flight,I,10,dish,1,FM,8,NA,NA,1,6,15
161,nat_flight,I,11,dish,0,NA,0,NA,NA,0,0,0
162,nat_flight,I,12,dish,1,FM,10,NA,NA,0,2,12
163,nat_flight,I,13,dish,1,FM,0,NA,NA,0,0,0
164,nat_flight,I,14,dish,0,NA,0,NA,NA,0,0,0
165,nat_flight,I,15,dish,0,NA,0,NA,NA,0,0,0
166,nat_flight,B,1,dish,1,FM,13,NA,NA,1,0,14
167,nat_flight,B,2,dish,0,NA,0,NA,NA,0,0,0
168,nat_flight,B,3,dish,1,FM,12,NA,NA,0,3,15
169,nat_flight,B,4,dish,1,FM,14,NA,NA,0,2,16
171,nat_flight,B,6,dish,1,FM,10,NA,NA,1,1,12
172,nat_flight,B,7,dish,1,FM,12,NA,NA,0,0,12
174,nat_flight,B,9,dish,0,M,0,NA,NA,0,0,0
175,nat_flight,B,10,dish,1,FM,10,NA,NA,1,3,14
176,nat_flight,B,11,dish,1,FM,9,NA,NA,0,0,9
177,nat_flight,B,12,dish,0,M,0,NA,NA,0,0,0
178,nat_flight,B,13,dish,1,FM,15,NA,NA,0,0,15
179,nat_flight,B,14,dish,1,FM,10,NA,NA,0,0,10
180,nat_flight,B,15,dish,1,FM,11,NA,NA,0,0,11
