unit,id,foundation,unit res,offspring,eggs,total
RkRk,1,1,FM,9,6,15
RkRk,2,1,FM,11,5,16
RkRk,3,0,M,0,0,0
RkRk,4,1,FM,11,7,18
RkRk,5,1,FM,10,9,19
RkRk,6,1,FM,10,3,13
RkRk,7,1,FM,12,6,18
RkRk,8,1,FM,13,5,18
RkRk,9,0,F,9,9,18
RkRk,10,1,FM,8,6,14
RkRs,11,1,FM,6,3,9
RkRs,12,1,FM,6,10,16
RkRs,13,1,FM,6,6,12
RkRs,14,1,FM,7,5,12
RkRs,15,1,FM,5,7,12
RkRs,16,1,FM,8,6,14
RkRs,17,1,FM,5,11,16
RkRs,18,1,FM,7,9,16
RkRs,19,1,FM,11,6,17
RsRk,20,1,FM,8,10,18
RsRk,21,1,FM,8,11,19
RsRk,22,0,M,0,0,0
RsRk,23,1,FM,10,12,22
RsRk,24,1,FM,9,11,20
RsRk,25,1,FM,10,12,22
RsRk,26,1,FM,10,8,18
RsRk,27,1,FM,11,10,21
RsRk,28,1,FM,11,9,20
RsRk,29,0,0,0,0,0
RsRk,30,1,FM,10,10,20
RsRs,31,1,FM,10,14,24
RsRs,32,1,FM,1,6,7
RsRs,33,1,FM,9,12,21
RsRs,34,1,FM,7,9,16
RsRs,35,1,FM,9,11,20
RsRs,36,0,0,0,0,0
RsRs,37,1,FM,6,9,15
RsRs,38,1,FM,9,11,20
RsRs,39,1,FM,9,11,20
RsRs,40,0,0,0,0,0
